Kipp7272,7,1.0,92547
Kitty228,303,1.0,36817
Kitty228,22,1.0,48733
Kslfromboston,464,1.0,113305
Kslfromboston,413,1.0,143378
Lexer75,489,1.0,141525
Lexer75,464,0.5,142481
M692,84,1.0,14684
M692,116,1.0,23058
M692,7,0.5,23114
MGD02135,310,1.0,171631
MangaMan,22,0.5,40030
MangaMan,295,1.0,190625
MangaMan,230,0.5,190891
MattCBoston,5,1.0,469
MattCBoston,126,1.0,1875
MattCBoston,282,1.0,29632
MaumelleJim,28,1.0,153486
Mbotaish,413,1.0,72001
Mbotaish,58,1.0,72201
Mbotaish,381,1.0,72274
Mbotaish,22,1.0,72347
Mbotaish,151,1.0,72468
Mbotaish,29,1.0,72873
MelisaC59,58,1.0,41868
MelisaC59,54,0.5,80430
MelissaP906,303,1.0,59026
MelissaP906,230,1.0,128593
MelissaP906,132,1.0,132404
MelissaP906,151,1.0,136355
MelissaP906,114,1.0,145020
MelissaP906,460,1.0,146403
MelissaP906,139,0.5,151835
Muralto60,230,1.0,163772
NuclearMamma,22,1.0,97264
O2708WLsh,229,0.5,175137
RJB1215,22,1.0,12408
RJB1215,28,1.0,131128
RachelleG_12,58,1.0,30718
RachelleG_12,84,1.0,70760
SLA37,168,1.0,112735
SLA37,338,1.0,120179
SM396,257,0.5,12846
SM396,237,1.0,16081
SM396,460,1.0,115540
Trainman334,217,1.0,123844
Trainman334,91,0.5,124011
TravelLoverBoston,167,1.0,19489
TravelLoverBoston,60,1.0,57671
TrevisoMA,413,1.0,70961
TrevisoMA,151,1.0,146914
TrevisoMA,69,1.0,207088
WINEandTRAVEL,84,1.0,4347
WINEandTRAVEL,69,1.0,40191
WINEandTRAVEL,28,1.0,42861
WINEandTRAVEL,168,1.0,92392
WINEandTRAVEL,69,1.0,124407
WINEandTRAVEL,335,1.0,153274
WINEandTRAVEL,503,1.0,173242
WINEandTRAVEL,519,1.0,205977
WINEandTRAVEL,475,1.0,206099
WINEandTRAVEL,503,1.0,208021
WINEandTRAVEL,84,1.0,208144
WINEandTRAVEL,517,0.5,209236
WorldView2,132,1.0,8012
WorldView2,414,1.0,131969
WorldView2,282,1.0,132141
WorldView2,182,1.0,170526
XavierPhoenix,29,1.0,23790
XavierPhoenix,424,1.0,76526
XavierPhoenix,16,1.0,81291
XavierPhoenix,69,0.5,81441
abbylok89,126,0.5,24727
abbylok89,114,0.5,56088
abbylok89,167,0.5,88152
abecedarius,168,0.5,48505
abecedarius,16,1.0,107142
abecedarius,168,1.0,139654
abecedarius,69,1.0,150419
abecedarius,69,1.0,184879
adrosenb,116,0.5,1588
adrosenb,229,1.0,33053
adrosenb,7,1.0,34570
adrosenb,338,1.0,34657
adrosenb,424,1.0,157448
amybK1717FR,237,1.0,133008
amybK1717FR,5,1.0,166220
amybK1717FR,484,1.0,196154
beachtravelerrrr,139,0.5,4566
beachtravelerrrr,220,1.0,135471
beachtravelerrrr,230,0.5,196061
bear628,22,1.0,71
bear628,58,1.0,358
bear628,60,1.0,388
bear628,5,0.5,435
copperbottom,69,1.0,96011
copperbottom,116,0.5,112817
copperbottom,58,0.5,133130
copperbottom,237,0.5,136717
copperbottom,151,0.5,147064
copperbottom,230,0.5,160609
copperbottom,220,0.5,165561
copperbottom,282,0.5,171059
daksterinwaltham,58,1.0,127701
daksterinwaltham,60,1.0,152708
dmegalos,22,1.0,167942
fancythis72,116,1.0,3496
fancythis72,16,1.0,5131
fancythis72,54,1.0,7369
gkincaid,110,1.0,21595
gkincaid,5,1.0,25887
gkincaid,132,1.0,28102
gkincaid,151,1.0,30794
havingfunagain,444,1.0,90749
havingfunagain,413,1.0,135648
hdalke1,60,1.0,70312
hdalke1,474,1.0,167410
hdalke1,460,1.0,172711
hdalke1,239,0.5,175900
hdalke1,474,1.0,199901
jwells3665,335,1.0,156705
jwells3665,268,0.5,164096
jwells3665,220,1.0,164874
kappy26,114,1.0,6745
kappy26,69,1.0,133216
kellygirl63,126,0.5,8671
kellygirl63,151,1.0,8771
kellygirl63,7,0.5,8893
lblg,168,0.5,3735
lblg,229,1.0,156855
lblg,424,1.0,160312
leafpeeper98,7,1.0,11
leafpeeper98,29,1.0,4887
leafpeeper98,7,0.5,30473
lip89,33,0.5,144
lip89,35,1.0,159
lip89,16,1.0,187
lip89,69,1.0,505
lip89,110,1.0,1379
lip89,132,0.5,68001
micstebou,33,1.0,173659
micstebou,295,0.5,174006
micstebou,230,1.0,180404
mjgboston,16,1.0,181075
nenichacin,60,1.0,192523
nenichacin,22,1.0,192642
nenichacin,460,1.0,192795
oyyveyy,22,1.0,19633
