algorithm,n,score,fold
hmm,18,0.678804347826087,5
hmm,19,0.6822139303482586,5
hmm,0,0.5654333201424614,6
hmm,1,0.5654333201424614,6
hmm,2,0.5511612536313193,6
hmm,3,0.5699396748577077,6
hmm,4,0.5407683344814975,6
hmm,5,0.5503130958257116,6
hmm,6,0.5607476635514019,6
hmm,7,0.5727074966532798,6
hmm,8,0.6191484635320252,6
hmm,9,0.6599790259081609,6
hmm,10,0.6720833019507418,6
hmm,11,0.6889781347612673,6
hmm,12,0.6928403361344537,6
hmm,13,0.7215422885572139,6
hmm,14,0.7268439916996792,6
hmm,15,0.7468940459446789,6
hmm,16,0.7468940459446789,6
hmm,17,0.7468940459446789,6
hmm,18,0.7464635473340588,6
hmm,19,0.7460674157303371,6
hmm,0,0.5469808225073294,7
hmm,1,0.5469808225073294,7
hmm,2,0.541364623758268,7
hmm,3,0.5586091261128188,7
hmm,4,0.581155303030303,7
hmm,5,0.6212574575493346,7
hmm,6,0.6313554732349819,7
hmm,7,0.6197412823397075,7
hmm,8,0.6123366142355287,7
hmm,9,0.6229763387297633,7
hmm,10,0.6161611930294906,7
hmm,11,0.6147081122062168,7
hmm,12,0.6703251067869008,7
hmm,13,0.6705310396409874,7
hmm,14,0.6705310396409874,7
hmm,15,0.6705310396409874,7
hmm,16,0.744751291989664,7
hmm,17,0.7789277389277389,7
hmm,18,0.7789277389277389,7
hmm,19,0.7789277389277389,7
hmm,0,0.5760313688677677,8
hmm,1,0.5760313688677677,8
hmm,2,0.5795668147641833,8
hmm,3,0.5776806462321566,8
hmm,4,0.5854843679632131,8
hmm,5,0.6135267535032088,8
hmm,6,0.6678075396825397,8
hmm,7,0.6783844427823486,8
hmm,8,0.6840204831932774,8
hmm,9,0.6742813141683778,8
hmm,10,0.6742813141683778,8
hmm,11,0.6678893625458511,8
hmm,12,0.748993288590604,8
hmm,13,0.7628997093023255,8
hmm,14,0.7806203305410913,8
hmm,15,0.8101045296167249,8
hmm,16,0.8101045296167249,8
hmm,17,0.8101045296167249,8
hmm,18,0.8101045296167249,8
hmm,19,0.8101045296167249,8
hmm,0,0.56245325355273,9
hmm,1,0.56245325355273,9
hmm,2,0.56245325355273,9
hmm,3,0.56245325355273,9
hmm,4,0.5647243154517645,9
hmm,5,0.5552325581395349,9
hmm,6,0.6347501864280387,9
hmm,7,0.6615188953488371,9
hmm,8,0.6615188953488371,9
hmm,9,0.691193117500566,9
hmm,10,0.691193117500566,9
hmm,11,0.691193117500566,9
hmm,12,0.6983159117305459,9
hmm,13,0.6983159117305459,9
hmm,14,0.6983159117305459,9
hmm,15,0.6983159117305459,9
hmm,16,0.7891682785299806,9
hmm,17,0.7891682785299806,9
hmm,18,0.7891682785299806,9
hmm,19,0.7891682785299806,9
logit,0,0.5645557191948944,0
logit,1,0.5645557191948944,0
logit,2,0.5710072947384759,0
logit,3,0.6624653739612189,0
logit,4,0.7687304264032764,0
logit,5,0.8396969696969697,0
logit,6,0.8180645161290322,0
logit,7,0.7890995260663507,0
logit,8,0.7913832199546484,0
logit,9,0.7351190476190476,0
logit,10,0.6968503937007874,0
logit,11,0.9080459770114943,0
logit,12,0.813953488372093,0
logit,13,0.813953488372093,0
logit,14,0.813953488372093,0
logit,15,0.813953488372093,0
logit,16,0.813953488372093,0
logit,17,0.813953488372093,0
logit,18,0.813953488372093,0
logit,19,0.813953488372093,0
logit,0,0.5662957811775615,1
logit,1,0.5662957811775615,1
logit,2,0.5539190790587438,1
logit,3,0.5217391304347826,1
logit,4,0.49400958466453676,1
logit,5,0.44988764044943824,1
logit,6,0.4470254957507082,1
logit,7,0.38996763754045305,1
logit,8,0.5995475113122172,1
logit,0,0.587841108489139,2
logit,1,0.587841108489139,2
logit,2,0.5872753623188406,2
logit,3,0.5089058524173028,2
logit,4,0.6935672514619883,2
logit,0,0.5733528535930723,3
logit,1,0.5733528535930723,3
logit,2,0.5963874880516826,3
logit,3,0.5792070438678754,3
logit,4,0.5910521797195459,3
logit,5,0.5506768094865198,3
logit,6,0.5455212922173275,3
logit,7,0.5274553571428571,3
logit,0,0.6022155832415176,4
logit,1,0.6022155832415176,4
logit,2,0.5751038670501757,4
logit,3,0.4859164810495115,4
logit,4,0.4801563439567047,4
logit,5,0.4476983532934132,4
logit,6,0.3856577027308734,4
logit,7,0.39971460282226096,4
logit,8,0.3432489451476793,4
logit,9,0.33809523809523806,4
logit,10,0.33809523809523806,4
logit,11,0.36093979441997065,4
logit,12,0.44471153846153844,4
logit,13,0.43664717348927873,4
logit,14,0.5511221945137157,4
logit,0,0.535269768820603,5
logit,1,0.535269768820603,5
logit,2,0.5447890952990144,5
logit,3,0.5435170524516826,5
logit,4,0.5549302515883492,5
logit,5,0.5543080827633673,5
logit,6,0.5842476260753053,5
logit,7,0.5699115883287114,5
logit,8,0.5593029792017987,5
logit,9,0.5192741935483871,5
logit,10,0.4796272610999452,5
logit,11,0.45521206566119493,5
logit,12,0.4888319672131147,5
logit,13,0.505501148591464,5
logit,14,0.5626554726368159,5
logit,15,0.627536231884058,5
logit,16,0.6329113924050633,5
logit,17,0.6429400386847195,5
logit,18,0.5614130434782609,5
logit,19,0.5634328358208955,5
logit,0,0.5390542144835774,6
logit,1,0.5390542144835774,6
logit,2,0.5183448869487697,6
